"uid","namedLocation","domainID","siteID","plotID","setDate","collectDate","processingDate","individualID","geneticSampleID","wellCoordinates","laboratoryName"
"dbc8ce85-5815-459e-b8d4-f83d6606c879","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2016-05-25T21:32Z","2016-05-26T10:30Z",NA,"MOS.D01.000931","MOS.D01.000931","B12","Kansas Biological Survey"
"f3380dc1-aad8-4cba-92bd-43df6a65a2c9","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2016-05-25T21:32Z","2016-05-26T10:30Z",NA,"MOS.D01.000932","MOS.D01.000932","C01","Kansas Biological Survey"
"30c3880a-41f2-460f-b4ab-ce6c296ff641","HARV_081.mosquitoPoint.mos","D01","HARV","HARV_081","2016-05-25T21:38Z","2016-05-26T10:38Z",NA,"MOS.D01.000924","MOS.D01.000924","B11","Kansas Biological Survey"
"bedd0096-a352-439a-ba9b-10ab2a5e4c29","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2016-05-25T22:11Z","2016-05-26T11:14Z",NA,"MOS.D01.000922","MOS.D01.000922","B10","Kansas Biological Survey"
"fa2fed95-53d9-4d0e-a398-15f316da53d7","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2016-05-25T22:11Z","2016-05-26T11:14Z",NA,"MOS.D01.000921","MOS.D01.000921","B09","Kansas Biological Survey"
"c0384b58-4b88-46cd-94f3-d75be9468bf1","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2016-05-25T22:33Z","2016-05-26T11:33Z",NA,"MOS.D01.000938","MOS.D01.000938","C02","Kansas Biological Survey"
"47d047ea-fde6-4d1a-a1d4-eb086c1b8bce","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2016-06-07T21:11Z","2016-06-08T10:00Z",NA,"MOS.D01.000902","MOS.D01.000902","B03","Kansas Biological Survey"
"372c1141-ade7-4e5c-829f-727b95e428b2","HARV_079.mosquitoPoint.mos","D01","HARV","HARV_079","2016-06-07T21:11Z","2016-06-08T10:00Z",NA,"MOS.D01.000901","MOS.D01.000901","B02","Kansas Biological Survey"
"b3d519b0-f37c-40f2-a90f-6a76b830969d","HARV_081.mosquitoPoint.mos","D01","HARV","HARV_081","2016-06-07T21:26Z","2016-06-08T10:15Z",NA,"MOS.D01.000903","MOS.D01.000903","B04","Kansas Biological Survey"
"8354f98e-df44-47f1-91ef-1f43668d3fa7","HARV_077.mosquitoPoint.mos","D01","HARV","HARV_077","2016-06-07T22:04Z","2016-06-08T10:57Z",NA,"MOS.D01.000905","MOS.D01.000905","B05","Kansas Biological Survey"
"f09fff03-a06a-415a-8466-fe03d4a5d9a9","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2016-06-07T22:18Z","2016-06-08T11:08Z",NA,"MOS.D01.000895","MOS.D01.000895","A12","Kansas Biological Survey"
"fad6d01f-8927-418e-af1e-91fc50059e8c","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2016-06-07T22:18Z","2016-06-08T11:08Z",NA,"MOS.D01.000890","MOS.D01.000890","A10","Kansas Biological Survey"
"e4dd4234-aafc-4818-8a18-86e9a3175fb6","HARV_074.mosquitoPoint.mos","D01","HARV","HARV_074","2016-06-07T22:18Z","2016-06-08T11:08Z",NA,"MOS.D01.000891","MOS.D01.000891","A11","Kansas Biological Survey"
"19c74e22-ca87-4a0f-80a6-7d6ef513668c","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2016-06-07T22:35Z","2016-06-08T11:26Z",NA,"MOS.D01.000917","MOS.D01.000917","B08","Kansas Biological Survey"
"91a6c1ff-be7f-438e-9b8e-bc7a973f48e0","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2016-06-07T22:35Z","2016-06-08T11:26Z",NA,"MOS.D01.000911","MOS.D01.000911","B06","Kansas Biological Survey"
"09d18a76-3e64-43a3-a72b-5232a1e94915","HARV_082.mosquitoPoint.mos","D01","HARV","HARV_082","2016-06-07T22:35Z","2016-06-08T11:26Z",NA,"MOS.D01.000912","MOS.D01.000912","B07","Kansas Biological Survey"
"b2d79695-5223-4f75-bc28-25736213e0bc","HARV_075.mosquitoPoint.mos","D01","HARV","HARV_075","2016-06-08T09:54Z","2016-06-08T20:56Z",NA,"MOS.D01.000897","MOS.D01.000897","B01","Kansas Biological Survey"
"05bad600-3278-463a-8978-591855631261","HARV_076.mosquitoPoint.mos","D01","HARV","HARV_076","2016-06-08T10:07Z","2016-06-08T21:07Z",NA,"MOS.D01.000888","MOS.D01.000888","A09","Kansas Biological Survey"
"01f0e3f7-c16c-45f7-acf3-2d268b4110ec","HARV_073.mosquitoPoint.mos","D01","HARV","HARV_073","2016-06-08T20:37Z","2016-06-09T09:38Z",NA,"MOS.D01.000870","MOS.D01.000870","A04","Kansas Biological Survey"
