"uid","namedLocation","domainID","siteID","plotID","setDate","collectDate","receivedDate","sortDate","sampleID","subsampleID","totalWeight","subsampleWeight","bycatchWeight","sampleCondition","remarks","sortedBy","laboratoryName"
"f7b03cac-6247-4db4-a35e-1b2c9e203844","BART_059.mosquitoPoint.mos","D01","BART","BART_059","2014-06-02T20:24Z","2014-06-03T10:15Z","2014-10-22","2014-12-30","BART_059.20140603.0615","BART_059.20140603.0615.S.01",0.5,0.5,0,"No known compromise","tech names may not be accurate","jJwXv2RnlGxE3dMw+oDOHA==","Connecticut Agricultural Experiment Station"
"138aae88-8931-421f-8c57-6c34a9c1e92e","BART_058.mosquitoPoint.mos","D01","BART","BART_058","2014-06-02T20:24Z","2014-06-03T11:12Z","2014-10-22","2014-12-30","BART_058.20140603.0712","BART_058.20140603.0712.S.01",0.5,0.5,0,"No known compromise","tech names may not be accurate","jJwXv2RnlGxE3dMw+oDOHA==","Connecticut Agricultural Experiment Station"
"8fbbf5c4-9b4f-4aa4-9b14-ab18e24aa119","BART_060.mosquitoPoint.mos","D01","BART","BART_060","2014-06-02T20:34Z","2014-06-03T11:02Z","2014-10-22","2014-12-30","BART_060.20140603.0702","BART_060.20140603.0702.S.01",0.5,0.5,0,"No known compromise","tech names may not be accurate","jJwXv2RnlGxE3dMw+oDOHA==","Connecticut Agricultural Experiment Station"
"785de50d-1da4-41cd-b424-c352ceaef931","BART_054.mosquitoPoint.mos","D01","BART","BART_054","2014-06-02T20:40Z","2014-06-03T10:56Z","2014-10-22","2014-12-30","BART_054.20140603.0656","BART_054.20140603.0656.S.01",0.5,0.5,0,"No known compromise","tech names may not be accurate","jJwXv2RnlGxE3dMw+oDOHA==","Connecticut Agricultural Experiment Station"
"0540ed75-2ca4-4080-a4ea-7402a54e3d5e","BART_061.mosquitoPoint.mos","D01","BART","BART_061","2014-06-02T20:45Z","2014-06-03T12:03Z","2014-10-22","2014-12-30","BART_061.20140603.0803","BART_061.20140603.0803.S.01",0.5,0.5,0,"No known compromise","tech names may not be accurate","jJwXv2RnlGxE3dMw+oDOHA==","Connecticut Agricultural Experiment Station"
"d3b46da8-043e-41cd-9d77-750e2e8a1459","BART_055.mosquitoPoint.mos","D01","BART","BART_055","2014-06-02T21:21Z","2014-06-03T11:41Z","2014-10-22","2014-12-30","BART_055.20140603.0741","BART_055.20140603.0741.S.01",0.5,0.5,0,"No known compromise","tech names may not be accurate","jJwXv2RnlGxE3dMw+oDOHA==","Connecticut Agricultural Experiment Station"
"ce5bd640-f4ce-40f7-a194-a8327e96dfed","BART_056.mosquitoPoint.mos","D01","BART","BART_056","2014-06-02T21:29Z","2014-06-03T10:30Z","2014-10-22","2014-12-30","BART_056.20140603.0630","BART_056.20140603.0630.S.01",0.5,0.5,0,"No known compromise","tech names may not be accurate","jJwXv2RnlGxE3dMw+oDOHA==","Connecticut Agricultural Experiment Station"
"a75b9b0d-7ccd-43df-9c59-e7e469ea64bf","BART_057.mosquitoPoint.mos","D01","BART","BART_057","2014-06-02T21:35Z","2014-06-03T11:25Z","2014-10-22","2014-12-30","BART_057.20140603.0725","BART_057.20140603.0725.S.01",0.5,0.5,0,"No known compromise","tech names may not be accurate","jJwXv2RnlGxE3dMw+oDOHA==","Connecticut Agricultural Experiment Station"
"bd951c68-ba18-45f5-8b10-e0aa9f3f0f0e","BART_059.mosquitoPoint.mos","D01","BART","BART_059","2014-06-03T10:15Z","2014-06-03T22:18Z","2014-10-22","2014-12-23","BART_059.20140603.1818","BART_059.20140603.1818.S.01",0.5,0.5,0,"No known compromise","tech names may not be accurate","jJwXv2RnlGxE3dMw+oDOHA==","Connecticut Agricultural Experiment Station"
"4ea6003d-1155-4a5e-8d26-83d94777c890","BART_056.mosquitoPoint.mos","D01","BART","BART_056","2014-06-03T10:30Z","2014-06-03T20:37Z","2014-10-22","2014-12-22","BART_056.20140603.1637","BART_056.20140603.1637.S.01",0.5,0.5,0,"No known compromise","tech names may not be accurate","jJwXv2RnlGxE3dMw+oDOHA==","Connecticut Agricultural Experiment Station"
