"uid","namedLocation","domainID","siteID","nlcdClass","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertainty","elevation","elevationUncertainty","startCollectDate","endCollectDate","receivedDate","testedDate","testingVialID","deprecatedVialID","sampleCondition","testProtocolVersion","testMethod","testResult","testPathogenName","testNumber","finalResult","locus","percentIdentity","sequenceDatabase","sequenceDatabaseID","extractDepleted","remarks","testedBy","laboratoryName"
"32d0dc91-135d-4a6d-9b1d-5d2ce345b4d1","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-04T21:02Z","2014-06-06T12:54Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.22.AEDVEX.F.T.07","JERC.2014.1.Aedes vexans.Female.T7","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y","","r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"cdb77a64-22a3-4a3b-ac66-35fbc0d4c4d4","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-04T21:02Z","2014-06-06T12:54Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.22.AEDVEX.F.T.09","JERC.2014.1.Aedes vexans.Female.T9","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y","","r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"377e0859-fc59-4fc5-8a47-d0b1baa261ab","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-04T21:02Z","2014-06-06T12:54Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.22.AEDVEX.F.T.10","JERC.2014.1.Aedes vexans.Female.T10","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y","","r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"89fd5690-e352-4f03-982f-9b2b4aa11f14","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-04T21:02Z","2014-06-06T12:54Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.22.AEDVEX.F.T.03","JERC.2014.1.Aedes vexans.Female.T3","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y","","r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"dd36f01f-d7ec-4386-b64f-e6f40946664e","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-04T21:02Z","2014-06-06T12:54Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.22.CULERR.F.T.04","JERC.2014.1.Culex erraticus.Female.T4","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y","","r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"62a5f17e-c2d5-4b30-b78f-4d7af49d42fa","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-04T21:02Z","2014-06-06T12:54Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.22.AEDVEX.F.T.08","JERC.2014.1.Aedes vexans.Female.T8","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Inconclusive","UNKV",1,"N",NA,NA,NA,NA,"Y","contamination","r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"0964b7dd-748b-4bfb-b6c6-965cb25d101a","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-04T21:02Z","2014-06-06T12:54Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.22.AEDVEX.F.T.04","JERC.2014.1.Aedes vexans.Female.T4","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y","","r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"6ee2b7a5-1742-4f5b-83dc-8c54595b5b87","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-04T21:02Z","2014-06-06T12:54Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.22.CULERR.F.T.01","JERC.2014.1.Culex erraticus.Female.T1","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y","","r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"d088cc97-aeb4-4311-a796-78537e27875d","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-04T21:02Z","2014-06-06T12:54Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.22.AEDVEX.F.T.01","JERC.2014.1.Aedes vexans.Female.T1","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y","","r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"a053b6f9-b4e2-44b1-aecd-91805d2b380a","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-04T21:02Z","2014-06-06T12:54Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.22.AEDVEX.F.T.02","JERC.2014.1.Aedes vexans.Female.T2","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y","","r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"560d35a9-5808-4c4b-9817-37879c55d735","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-04T21:02Z","2014-06-06T12:54Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.22.CULERR.F.T.02","JERC.2014.1.Culex erraticus.Female.T2","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y","","r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"75d0dc9a-bbc8-4609-89bc-71d77bfa8cba","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-04T21:02Z","2014-06-06T12:54Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.22.AEDVEX.F.T.06","JERC.2014.1.Aedes vexans.Female.T6","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y","","r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"fd8bb651-56b2-4bcb-a8b1-847995d54323","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-04T21:02Z","2014-06-06T12:54Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.22.AEDVEX.F.T.05","JERC.2014.1.Aedes vexans.Female.T5","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y","","r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"c1d89062-453c-4a2b-9693-cd42cd8fbf29","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-04T21:02Z","2014-06-06T12:54Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.22.CULERR.F.T.03","JERC.2014.1.Culex erraticus.Female.T3","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y","","r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"c5cd083a-0a98-4339-b8e7-09db8e2957f4","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-04T21:02Z","2014-06-06T12:54Z","2015-01-06T12:00Z","2015-01-22T12:00Z","JERC.2014.22.AEDVEX.F.T.08","JERC.2014.1.Aedes vexans.Female.T8","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",2,"Y",NA,NA,NA,NA,"Y","","r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"41635ef6-b181-4cda-864e-ab71f2b20a12","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-30T23:32Z","2014-07-02T13:55Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.26.AEDVEX.F.T.01","JERC.2014.2.Aedes vexans.Female.TI","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y",NA,"r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"343fea2f-04d8-485c-97a5-813a7c6fd4a8","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-30T23:32Z","2014-07-02T14:34Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.26.CULERR.F.T.01","JERC.2014.2.Culex erraticus.Female.T1","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y",NA,"r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"eb016345-7033-4be6-b559-a8fd08e2903c","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-30T23:32Z","2014-07-02T14:34Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.26.CULERR.F.T.03","JERC.2014.2.Culex erraticus.Female.T3","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y",NA,"r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"e7e80328-91a9-4d6e-b887-cf3b0325287a","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-06-30T23:32Z","2014-07-02T14:34Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.26.CULERR.F.T.02","JERC.2014.2.Culex erraticus.Female.T2","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y",NA,"r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"d2087ee2-95a1-46d8-b9c1-df38c5fb1425","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-07-29T21:16Z","2014-07-31T14:11Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.30.CULERR.F.T.02","JERC.2014.3.Culex erraticus.Female.T2","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y",NA,"r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"322aa73f-7d47-43b8-ab6b-4c2fa2bd95f5","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-07-29T21:16Z","2014-07-31T14:11Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.30.AEDVEX.F.T.01","JERC.2014.3.Aedes vexans.Female.TI","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y",NA,"r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
"2a9a7f1e-f46f-4943-8aad-6c6492fe911e","JERC","D03","JERC",NA,31.194839,-84.468623,"WGS84",NA,47,NA,"2014-07-29T21:16Z","2014-07-31T14:11Z","2015-01-06T12:00Z","2015-01-15T12:00Z","JERC.2014.30.CULERR.F.T.05","JERC.2014.3.Culex erraticus.Female.T5","No known compromise","CAES_Pathogen_testing_SOP_2014-05-06","Culture","Negative","UNKV",1,"Y",NA,NA,NA,NA,"Y",NA,"r4iH4e2lsYW4kI6RhiJwwMegvyzkVSXT","Connecticut Agricultural Experiment Station"
